station_id,lat,lon,tmean_c
41.26025_1.998952,41.26025,1.998952,28.051844
41.260345_2.000136,41.260345,2.000136,28.0581
41.26044_2.001319,41.26044,2.001319,28.062094
41.260536_2.002503,41.260536,2.002503,28.071566
41.26063_2.003686,41.26063,2.003686,28.08021
41.260727_2.00487,41.260727,2.00487,28.080124
41.260822_2.006053,41.260822,2.006053,28.067621
41.260918_2.007237,41.260918,2.007237,28.044128
41.261013_2.00842,41.261013,2.00842,28.02263
41.26111_2.009604,41.26111,2.009604,28.021997
41.26115_1.998836,41.26115,1.998836,28.137009
41.261204_2.010787,41.261204,2.010787,28.027435
41.261246_2.00002,41.261246,2.00002,28.145777
41.2613_2.011971,41.2613,2.011971,28.03009
41.26134_2.001203,41.26134,2.001203,28.143745
41.261395_2.013155,41.261395,2.013155,28.027504
41.261436_2.002387,41.261436,2.002387,28.144653
41.26149_2.014338,41.26149,2.014338,28.021944
41.26153_2.00357,41.26153,2.00357,28.148752
41.261585_2.015522,41.261585,2.015522,28.017763
41.261627_2.004754,41.261627,2.004754,28.145834
41.26168_2.016705,41.26168,2.016705,28.01298
41.261723_2.005937,41.261723,2.005937,28.13276
41.261776_2.017889,41.261776,2.017889,28.007517
41.261818_2.007121,41.261818,2.007121,28.10488
41.26187_2.019072,41.26187,2.019072,27.997505
41.261913_2.008305,41.261913,2.008305,28.076231
41.261967_2.020256,41.261967,2.020256,27.988693
41.26201_2.009488,41.26201,2.009488,28.06781
41.262047_1.99872,41.262047,1.99872,28.176996
41.262062_2.02144,41.262062,2.02144,27.980062
41.262104_2.010672,41.262104,2.010672,28.072092
41.262142_1.999904,41.262142,1.999904,28.188187
41.262157_2.022623,41.262157,2.022623,27.974997
41.2622_2.011855,41.2622,2.011855,28.081343
41.262238_2.001087,41.262238,2.001087,28.187805
41.262253_2.023807,41.262253,2.023807,27.966965
41.262295_2.013039,41.262295,2.013039,28.08108
41.262333_2.002271,41.262333,2.002271,28.188868
41.26235_2.02499,41.26235,2.02499,27.949087
41.26239_2.014222,41.26239,2.014222,28.075396
41.26243_2.003454,41.26243,2.003454,28.18959
41.262444_2.026174,41.262444,2.026174,27.930809
41.262486_2.015406,41.262486,2.015406,28.069376
41.262524_2.004638,41.262524,2.004638,28.18559
41.26254_2.027357,41.26254,2.027357,27.918829
41.26258_2.016589,41.26258,2.016589,28.068466
41.26262_2.005821,41.26262,2.005821,28.172676
41.262634_2.028541,41.262634,2.028541,27.909607
41.262676_2.017773,41.262676,2.017773,28.074472
41.262714_2.007005,41.262714,2.007005,28.146387
41.26273_2.029725,41.26273,2.029725,27.90418
41.26277_2.018957,41.26277,2.018957,28.07302
41.26281_2.008189,41.26281,2.008189,28.123251
41.262825_2.030908,41.262825,2.030908,27.897171
41.262867_2.02014,41.262867,2.02014,28.06183
41.262905_2.009372,41.262905,2.009372,28.116564
41.26292_2.032092,41.26292,2.032092,27.883224
41.262947_1.998604,41.262947,1.998604,28.237146
